model,prompt_mode,dataset,variant,id,correct,rewrite_chars,bengali_ratio,latin_ratio,empty_rewrite,source_option_count,rewrite_option_count,options_preserved,source_digit_count,rewrite_digit_count,digit_count_preserved,source_formulas,rewrite_formulas,formulas_preserved,rewrite_preview,source,line
Qwen/Qwen2.5-3B-Instruct,banglish_self_normalize,mgsm,banglish_clean,mgsm_bn_0001,False,238,0.8445,0.0,False,0,0,True,3,2,False,,,True,জন্তু হাসনগুলি পরিদর্শন ১৬তম দিনে দুই করে দিমাগো পারে। এই দিনের পরিদর্শনে দুই করে দিমাগো পাওয়া এবং বন্ধুর জন্য পরিদর্শন চারটি দিনে দিমাগো দিতে মাফি হয়েছে। এই পরিদর্শনের দুর্ভাগ্যবশতঃ এই দিনের পরিদর্শনের দুর্ভাগ্যবশতঃ এ,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,1
Qwen/Qwen2.5-3B-Instruct,banglish_self_normalize,mgsm,banglish_clean,mgsm_bn_0002,False,74,0.7973,0.0,False,0,0,True,1,1,True,,,True,একটি পোশাক টোরি করেন ২ রিল নিরস্ত এবং তার উত্তরে একটি কোটো গুলি রিল লাগবে?,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,2
Qwen/Qwen2.5-3B-Instruct,banglish_self_normalize,mgsm,banglish_clean,mgsm_bn_0003,False,217,0.8065,0.0,False,0,0,True,13,3,False,,,True,জোশ একটি ফ্লিপ করার সিদ্ধান্ত নিয়েছেন। একটি বাজারে একটি বস্তু প্রথমে ছয় হাজার ডলারে খরচ করে প্রাপ্ত হয়েছিল এবং দুই হাজার ডলারে বিক্রি করা হয়েছিল। এর ফলে মুল্য ১৫০% বৃদ্ধি ঘটে। এর ফলে তিনি কতগুলি ডলার লাভ করেছিলেন?,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,3
Qwen/Qwen2.5-3B-Instruct,banglish_self_normalize,mgsm,banglish_clean,mgsm_bn_0004,False,158,0.8228,0.0,False,0,0,True,4,4,True,,,True,জেমোস এক সোপ্তাহে ৩ বার ৩তি স্পিন্টে দৌরান সিড্ডং নিয়েছেন। একটি সোপ্তাহে ৬০ মিটারে দৌরান একটি স্পিন্ট করেন। একটি সোপ্তাহে কত মিটারে দৌরান কয়টি স্পিন্ট করেন?,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,4
Qwen/Qwen2.5-3B-Instruct,banglish_self_normalize,mgsm,banglish_clean,mgsm_bn_0005,False,230,0.8217,0.0,False,0,0,True,6,0,False,,,True,"ইয়োঁদেন্তি পরিদৃশ্য তন্র পর্যন্ত মুরোগীকে সুস্থ রাখার জন্য একটি নতুন পর্যায় হয়েছে। এই নতুন পর্যায়ে একটি মুরোগীকে তিনটি কাঠামো বা কথা বলা হয়। সাধারণত, একটি মুরোগীকে তিনটি কথা বলা হয়। অন্যদিকে, মুরোগীদের একটি নতুন পর",results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,5
Qwen/Qwen2.5-3B-Instruct,banglish_self_normalize,mgsm,banglish_clean,mgsm_bn_0006,False,225,0.7867,0.0,False,0,0,True,5,5,True,,,True,"কাইলার তন্র নতুন উপরিস্থিতির জন্য কোনও পরিবর্তন করা হয়নি। একটি কোনও ক্ষেত্রে দাম $5, কিন্তু প্রতিটি ড্বিটি গ্লাস পরিবর্তন দাম হয়েছে মূল্যের 60%। কাইলার 16টি ক্যান্চ কিনতে চাই। এই জন্য একটি গ্রুপের জন্য কত ডলার পরিবর্তন",results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,6
Qwen/Qwen2.5-3B-Instruct,banglish_self_normalize,mgsm,banglish_clean,mgsm_bn_0007,False,234,0.812,0.0,False,0,0,True,3,5,False,,,True,"তুলুজের কাছে চারলোস্টনের থেকে ২০টি বছর বেশি বহন করে যায়। চারলোস্টনের কাছে সিয়াটলোর থেকে ৪টি বছর বেশি বহন করে যায়। যদি সিয়াটলোর কাছে ২০টি বছর বেশি বহন করে থাকে, তাহলে তুলু চারলোস্টন এবং সিয়াটলোর কাছে সর্বমোট বহন করে ",results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,7
Qwen/Qwen2.5-3B-Instruct,banglish_self_normalize,mgsm,banglish_clean,mgsm_bn_0008,False,251,0.7371,0.0558,False,0,0,True,8,8,True,GB,GB,True,"কর্লা ২০০ গিগabyte (GB) এর একটি ফাইল ডাউনলোড করতে যাচ্ছেন। সদরদপ্তরে তিনটি ২ গিগabyte (GB) প্রতিটি মিনিটে ডাউনলোড করে যাবে, কিন্তু ৪০% ডাউনলোড হওয়ার পর, ওয়াইন্স অপডেট আপডেট করার জন্য একটি রিস্টার্ট হবে, যা ২০ মিনিট সময",results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,8
Qwen/Qwen2.5-3B-Instruct,banglish_self_normalize,mgsm,banglish_clean,mgsm_bn_0009,False,233,0.8026,0.0,False,0,0,True,11,5,False,,,True,জন পর্তি ঘন্টায় ৬০ মিনিটে গ্রহণ করে ৩ ঘন্টা গারি চলন ও পরে বৃদ্ধি হয় যে একটি দশটি বর্তমান গুরুত্বপূর্ণ কিছু ভুলে যায় এবং একটি দশটি ফাইর জন। একটি ৪ ঘন্টায় ফাইর চাষে কিছু সংখ্যা হয় কিন্তু প্রথম ২ ঘন্টা তার ট্রাফিক যায,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,9
Qwen/Qwen2.5-3B-Instruct,banglish_self_normalize,mgsm,banglish_clean,mgsm_bn_0010,False,221,0.7873,0.0,False,0,0,True,8,8,True,,,True,"প্রতি সোপানের প্রথম ৪০ ঘণ্টা কাজ করার জন্য প্রতিটি ঘণ্টার ব্যয় $১০। অন্যরকম কাজ করার জন্য একটি তান্ত্রিক পরিমাণ হবে ১.২ গুন। যদি এই সোপানে ৪৫ ঘণ্টা কাজ করার উপর জন্য আসল ব্যয় হয়, তাহলে এই সোপানের উপর জন্য আসল ব্যয় কত",results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,10
