model_group,dataset,metric,n,denominator,rate,detail
all_models,all,pattern:all_wrong,278,600,0.4633,No script view is correct
all_models,all,pattern:bangla_only_correct,28,600,0.0467,Only native Bangla is correct
all_models,all,pattern:english_only_correct,81,600,0.135,Only English is correct
all_models,all,pattern:bangla_english_correct_banglish_wrong,76,600,0.1267,Bangla and English are correct; Banglish is wrong
all_models,all,pattern:banglish_only_correct,20,600,0.0333,Only reviewed Banglish is correct
all_models,all,pattern:bangla_banglish_correct_english_wrong,21,600,0.035,Bangla and Banglish are correct; English is wrong
all_models,all,pattern:banglish_english_correct_bangla_wrong,22,600,0.0367,Banglish and English are correct; Bangla is wrong
all_models,all,pattern:all_correct,74,600,0.1233,All three script views are correct
all_models,all,banglish_correct,137,600,0.2283,Reviewed Banglish correct model-item slots
all_models,all,banglish_wrong,463,600,0.7717,Reviewed Banglish incorrect model-item slots
all_models,all,recoverable_banglish_miss,185,600,0.3083,Banglish miss where Bangla or English is correct
all_models,all,all_script_hard,278,600,0.4633,No script view is correct
all_models,all,bangla_any_recovery,104,600,0.1733,Banglish miss recoverable by native Bangla
all_models,all,english_any_recovery,157,600,0.2617,Banglish miss recoverable by English
all_models,all,bangla_only_recovery,28,600,0.0467,Only native Bangla recovers the Banglish miss
all_models,all,english_only_recovery,81,600,0.135,Only English recovers the Banglish miss
all_models,all,both_alternate_recovery,76,600,0.1267,Both Bangla and English recover the Banglish miss
all_models,all,banglish_unique_success,20,600,0.0333,Only Banglish is correct
all_models,all,miss_share:recoverable_banglish_miss,185,463,0.3996,Share of Banglish misses recoverable by Bangla or English
all_models,all,miss_share:all_script_hard,278,463,0.6004,Share of Banglish misses with no script correct
all_models,all,miss_share:bangla_any_recovery,104,463,0.2246,Share of Banglish misses recoverable by native Bangla
all_models,all,miss_share:english_any_recovery,157,463,0.3391,Share of Banglish misses recoverable by English
all_models,all,miss_share:bangla_only_recovery,28,463,0.0605,Share of Banglish misses recoverable only by native Bangla
all_models,all,miss_share:english_only_recovery,81,463,0.1749,Share of Banglish misses recoverable only by English
