model,model_id,dataset,task_type,id,domain,subject,grade,english_structural_warning,english_structural_group,english_warning_codes,bangla_correct,banglish_correct,english_correct,banglish_miss,recoverable_banglish_miss,bangla_any_recovery,english_any_recovery,both_alternate_recovery,all_script_hard,banglish_unique_success
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0181,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0182,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0183,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0184,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0185,math,,six,False,english_structural_clean,,True,False,False,True,True,True,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0186,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0187,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0188,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0189,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0226,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0227,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0228,math,,six,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0229,math,,six,False,english_structural_clean,,True,False,True,True,True,True,True,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0230,math,,six,False,english_structural_clean,,True,False,True,True,True,True,True,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0231,math,,six,True,english_structural_warning,digits,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0232,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0233,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0234,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0236,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0237,math,,six,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0518,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0519,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0521,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0522,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0526,math,,seven,False,english_structural_clean,,True,False,True,True,True,True,True,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0531,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0532,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0533,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0538,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0539,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0540,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0541,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0542,math,,seven,True,english_structural_warning,digits,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0549,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0550,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0552,math,,seven,False,english_structural_clean,,True,False,False,True,True,True,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0553,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0557,math,,seven,True,english_structural_warning,digits formulas,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0558,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0559,math,,seven,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1684,math,,Eight,True,english_structural_warning,digits,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1685,math,,Eight,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1686,math,,Eight,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1687,math,,Eight,True,english_structural_warning,digits,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1688,math,,Eight,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1690,math,,Eight,True,english_structural_warning,digits,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1691,math,,Eight,True,english_structural_warning,digits,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1692,math,,Eight,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1693,math,,Eight,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1694,math,,Eight,True,english_structural_warning,digits,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1695,math,,Eight,True,english_structural_warning,digits,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1696,math,,Eight,True,english_structural_warning,digits,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1697,math,,Eight,True,english_structural_warning,digits formulas,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1698,math,,Eight,True,english_structural_warning,digits formulas,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1699,math,,Eight,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1703,math,,Eight,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0057,biology,Biology,10th,True,english_structural_warning,formulas,True,False,False,True,True,True,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0090,biology,Biology,10th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0128,biology,Biology,10th,False,english_structural_clean,,True,False,True,True,True,True,True,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0143,biology,Biology,10th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0149,biology,Biology,10th,False,english_structural_clean,,True,False,False,True,True,True,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0156,biology,Biology,10th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
