id,dataset,domain,subject,grade,task_type,answer_type,quality_status,review_label,reviewed_banglish_provided,answer,banglish_preview,banglish_chars,banglish_words,banglish_lines,banglish_option_lines,bangla_chars,english_chars,digit_count,latex_marker_count,operator_count,has_digits,has_latex_markers,has_formula_or_operator,has_roman_statement_list,has_science_symbol,has_review_label,Qwen2.5-3B_pattern,Qwen2.5-3B_bangla_correct,Qwen2.5-3B_banglish_correct,Qwen2.5-3B_english_correct,Qwen2.5-3B_fragility_event,Qwen2.5-7B_pattern,Qwen2.5-7B_bangla_correct,Qwen2.5-7B_banglish_correct,Qwen2.5-7B_english_correct,Qwen2.5-7B_fragility_event,Qwen3-4B_pattern,Qwen3-4B_bangla_correct,Qwen3-4B_banglish_correct,Qwen3-4B_english_correct,Qwen3-4B_fragility_event,n_models,banglish_fragility_events,strict_bangla_english_fragility_events,all_wrong_events,banglish_only_correct_events,bangla_correct_models,banglish_correct_models,english_correct_models,any_script_correct_models,any_model_fragile,all_models_fragile,long_banglish_words_q4,long_banglish_chars_q4
benqa_12th-Biology-I_0265,benqa,biology-i,Biology-I,12th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,A,"mi. 'k' byoboharik klase ekti nomunar poryobekshon kore dekholo metajailem kendrer dike, bhaskular bandol 9ti ebong kichhu ekok...",422,72,6,4,385,430,1,0,0,True,False,False,True,False,True,english_only_correct,False,False,True,True,english_only_correct,False,False,True,True,bangla_english_correct_banglish_wrong,True,False,True,True,3,3,1,0,0,1,0,3,3,True,True,True,True
benqa_12th-Chemistry-II_0240,benqa,chemistry-ii,Chemistry-II,12th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,B,CH_{3} - CH_{2} - COONa + NaOH \xrightarrow[\Delta]{CaO} A + Na_{2}CO_{3} uddipoker bikriyati ki name porichit? A. urtoj bikriy...,237,38,6,4,243,247,4,16,6,True,True,True,False,True,False,banglish_only_correct,False,True,False,False,banglish_english_correct_bangla_wrong,False,True,True,False,bangla_english_correct_banglish_wrong,True,False,True,True,3,1,1,0,1,1,2,2,3,True,False,True,True
benqa_10th-Chemistry_0111,benqa,chemistry,Chemistry,10th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,D,1s^{2}2s^{2}2p^{2} ilekotron binyasobishisht mouloti poryay saronir kon grupe obosthit? A. grup-1 B. grup-3 C. grup-5 D. grup-1...,160,25,6,4,159,185,11,9,4,True,True,True,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_correct,True,True,True,False,3,0,0,2,0,1,1,1,1,False,False,False,False
benqa_10th-Math_0186,benqa,math,Math,10th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,C,"2x + y = 1 o x = - 4 somikoronodboyer somadhan bindu kon chortubhage obosthit? A. 4th B. 3rd C. 2nd D. 1st Answer with only A,...",138,32,6,4,130,136,7,0,4,True,False,True,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,False,False
benqa_12th-Chemistry-II_0194,benqa,chemistry-ii,Chemistry-II,12th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,A,"semikondaktor hisebe byobohrit hoy- A. Ge B. Zn C. Cu D. Al Answer with only A, B, C, or D.",91,20,6,4,88,81,0,0,1,False,False,True,False,False,False,english_only_correct,False,False,True,True,all_correct,True,True,True,False,bangla_english_correct_banglish_wrong,True,False,True,True,3,2,1,0,0,2,1,3,3,True,False,False,False
banglamath_0234,banglamath,math,,six,short_answer,short_answer,human_reviewed_banglish_v5,minor_edit,True,৬ দিন,ekti kaj k 10 dine o kh 15 dine korle tara ekotre koto dine korbe Return only the final answer.,95,20,2,0,90,115,4,0,0,True,False,False,False,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,False,False
benqa_12th-Chemistry-II_0054,benqa,chemistry-ii,Chemistry-II,12th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,A,"amaider karyokori mulok holo- A. \text{-CONH_{2}} B. \text{-COX} C. \text{-CHO} D. \text{-NH_{2}} Answer with only A, B, C, or D.",129,20,6,4,129,109,2,18,5,True,True,True,False,False,False,banglish_english_correct_bangla_wrong,False,True,True,False,all_correct,True,True,True,False,bangla_english_correct_banglish_wrong,True,False,True,True,3,1,1,0,0,2,2,3,3,True,False,False,False
banglamath_0522,banglamath,math,,seven,short_answer,short_answer,human_reviewed_banglish_v5,minor_edit,True,১৭৬ বর্গমিটার,jomir bhitore 2 mitar chowra rasta thakle rastabade jomir khetrofol koto Return only the final answer.,102,16,2,0,95,127,1,0,0,True,False,False,False,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,False,False
benqa_12th-Math-II_0234,benqa,math-ii,Math-II,12th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,A,jodi x^{2} - 4x + 3 = 0 somikoroner mulodboy \alpha ebong \beta hoy tobe \frac{1}{\alpha} + frac{1}{\beta} er man- A. \frac{4}{...,207,36,6,4,198,218,14,35,12,True,True,True,False,False,False,all_correct,True,True,True,False,bangla_english_correct_banglish_wrong,True,False,True,True,all_wrong,False,False,False,False,3,1,1,1,0,2,1,2,2,True,False,True,True
benqa_10th-Math_0271,benqa,math,Math,10th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,D,sthulokoni tribhujer sthulokon chhara baki kon duti koto hole tribhuj ongkon sombhob? A. 30\degree o 60\degree B. 40\degree o 5...,217,36,6,4,206,242,16,8,0,True,True,True,False,False,True,all_wrong,False,False,False,False,english_only_correct,False,False,True,True,bangla_english_correct_banglish_wrong,True,False,True,True,3,2,1,1,0,1,0,2,2,True,False,True,True
