model,id,source_id,shift,gold,original_gold,parsed,parsed_original,valid_option,correct,pred_D,wrong_D,selected_original_D,raw_output,seconds
Qwen2.5-3B,benqa_10th-Biology_0057__perm0,benqa_10th-Biology_0057,0,C,C,D,D,True,False,True,True,True,D,0.9498
Qwen2.5-3B,benqa_10th-Biology_0057__perm1,benqa_10th-Biology_0057,1,D,C,D,C,True,True,True,False,False,D,0.1903
Qwen2.5-3B,benqa_10th-Biology_0057__perm2,benqa_10th-Biology_0057,2,A,C,B,D,True,False,False,False,True,B,0.191
Qwen2.5-3B,benqa_10th-Biology_0057__perm3,benqa_10th-Biology_0057,3,B,C,B,C,True,True,False,False,False,B,0.1912
Qwen2.5-3B,benqa_10th-Biology_0143__perm0,benqa_10th-Biology_0143,0,C,C,B,B,True,False,False,False,False,B,0.1685
Qwen2.5-3B,benqa_10th-Biology_0143__perm1,benqa_10th-Biology_0143,1,D,C,C,B,True,False,False,False,False,C,0.1677
Qwen2.5-3B,benqa_10th-Biology_0143__perm2,benqa_10th-Biology_0143,2,A,C,D,B,True,False,True,True,False,D,0.1665
Qwen2.5-3B,benqa_10th-Biology_0143__perm3,benqa_10th-Biology_0143,3,B,C,D,A,True,False,True,True,False,D,0.1651
Qwen2.5-3B,benqa_10th-Biology_0197__perm0,benqa_10th-Biology_0197,0,D,D,A,A,True,False,False,False,False,A,0.1673
Qwen2.5-3B,benqa_10th-Biology_0197__perm1,benqa_10th-Biology_0197,1,A,D,B,A,True,False,False,False,False,B,0.166
Qwen2.5-3B,benqa_10th-Biology_0197__perm2,benqa_10th-Biology_0197,2,B,D,D,B,True,False,True,True,False,D,0.1682
Qwen2.5-3B,benqa_10th-Biology_0197__perm3,benqa_10th-Biology_0197,3,C,D,D,A,True,False,True,True,False,D,0.1665
Qwen2.5-3B,benqa_10th-Chemistry_0280__perm0,benqa_10th-Chemistry_0280,0,A,A,D,D,True,False,True,True,True,D,0.1442
Qwen2.5-3B,benqa_10th-Chemistry_0280__perm1,benqa_10th-Chemistry_0280,1,B,A,B,A,True,True,False,False,False,B,0.1443
Qwen2.5-3B,benqa_10th-Chemistry_0280__perm2,benqa_10th-Chemistry_0280,2,C,A,D,B,True,False,True,True,False,D,0.1438
Qwen2.5-3B,benqa_10th-Chemistry_0280__perm3,benqa_10th-Chemistry_0280,3,D,A,C,D,True,False,False,False,True,C,0.1448
Qwen2.5-3B,benqa_10th-Chemistry_0374__perm0,benqa_10th-Chemistry_0374,0,B,B,B,B,True,True,False,False,False,B,0.1465
Qwen2.5-3B,benqa_10th-Chemistry_0374__perm1,benqa_10th-Chemistry_0374,1,C,B,A,D,True,False,False,False,True,A,0.1459
Qwen2.5-3B,benqa_10th-Chemistry_0374__perm2,benqa_10th-Chemistry_0374,2,D,B,A,C,True,False,False,False,False,A,0.1446
Qwen2.5-3B,benqa_10th-Chemistry_0374__perm3,benqa_10th-Chemistry_0374,3,A,B,A,B,True,True,False,False,False,A,0.155
Qwen2.5-3B,benqa_10th-Chemistry_0388__perm0,benqa_10th-Chemistry_0388,0,D,D,B,B,True,False,False,False,False,B,0.2531
Qwen2.5-3B,benqa_10th-Chemistry_0388__perm1,benqa_10th-Chemistry_0388,1,A,D,B,A,True,False,False,False,False,B,0.2341
Qwen2.5-3B,benqa_10th-Chemistry_0388__perm2,benqa_10th-Chemistry_0388,2,B,D,B,D,True,True,False,False,True,B,0.2333
Qwen2.5-3B,benqa_10th-Chemistry_0388__perm3,benqa_10th-Chemistry_0388,3,C,D,B,C,True,False,False,False,False,B,0.2332
Qwen2.5-3B,benqa_10th-Math-II_0367__perm0,benqa_10th-Math-II_0367,0,C,C,B,B,True,False,False,False,False,B,0.1671
Qwen2.5-3B,benqa_10th-Math-II_0367__perm1,benqa_10th-Math-II_0367,1,D,C,B,A,True,False,False,False,False,B,0.1668
Qwen2.5-3B,benqa_10th-Math-II_0367__perm2,benqa_10th-Math-II_0367,2,A,C,C,A,True,False,False,False,False,C,0.1674
Qwen2.5-3B,benqa_10th-Math-II_0367__perm3,benqa_10th-Math-II_0367,3,B,C,B,C,True,True,False,False,False,B,0.167
Qwen2.5-3B,benqa_10th-Math_0032__perm0,benqa_10th-Math_0032,0,B,B,A,A,True,False,False,False,False,A,0.146
Qwen2.5-3B,benqa_10th-Math_0032__perm1,benqa_10th-Math_0032,1,C,B,A,D,True,False,False,False,True,A,0.1461
Qwen2.5-3B,benqa_10th-Math_0032__perm2,benqa_10th-Math_0032,2,D,B,A,C,True,False,False,False,False,A,0.145
Qwen2.5-3B,benqa_10th-Math_0032__perm3,benqa_10th-Math_0032,3,A,B,A,B,True,True,False,False,False,A,0.1473
Qwen2.5-3B,benqa_10th-Physics_0045__perm0,benqa_10th-Physics_0045,0,A,A,B,B,True,False,False,False,False,B,0.1659
Qwen2.5-3B,benqa_10th-Physics_0045__perm1,benqa_10th-Physics_0045,1,B,A,C,B,True,False,False,False,False,C,0.1653
Qwen2.5-3B,benqa_10th-Physics_0045__perm2,benqa_10th-Physics_0045,2,C,A,D,B,True,False,True,True,False,D,0.1667
Qwen2.5-3B,benqa_10th-Physics_0045__perm3,benqa_10th-Physics_0045,3,D,A,A,B,True,False,False,False,False,A,0.1651
Qwen2.5-3B,benqa_10th-Physics_0055__perm0,benqa_10th-Physics_0055,0,D,D,D,D,True,True,True,False,True,D,0.1658
