id,repair_strategy,raw_hard_fail,raw_warning,raw_failure_labels,qwen3_baseline_correct,qwen3_guarded_en_correct,qwen3_change,qwen3_baseline_parsed,qwen3_guarded_en_parsed,qwen25_baseline_correct,qwen25_guarded_en_correct,qwen25_change,qwen25_baseline_parsed,qwen25_guarded_en_parsed,qwen3_route_action,qwen3_routed_correct,qwen3_generated_bn_correct,qwen25_route_action,qwen25_routed_correct,qwen25_generated_bn_correct
benqa_10th-Biology_0057,translated_stem_source_tail,False,True,line_count,False,False,same_wrong,D,D,False,False,same_wrong,D,D,fallback_banglish,False,False,fallback_banglish,False,True
benqa_10th-Biology_0143,translated_stem_source_tail,False,False,,True,True,same_correct,C,C,False,False,same_wrong,B,D,fallback_banglish,True,False,fallback_banglish,False,False
benqa_10th-Biology_0197,translated_stem_source_tail,False,True,line_count,True,True,same_correct,D,D,False,False,same_wrong,A,A,fallback_banglish,True,True,fallback_banglish,False,False
benqa_10th-Chemistry_0280,translated_stem_source_tail,False,False,,False,False,same_wrong,D,D,False,False,same_wrong,D,D,fallback_banglish,False,False,fallback_banglish,False,False
benqa_10th-Chemistry_0374,translated_stem_source_tail,False,True,line_count,False,False,same_wrong,D,D,True,True,same_correct,B,B,fallback_banglish,False,False,fallback_banglish,True,False
benqa_10th-Chemistry_0388,source_fallback_after_failed_repair,True,False,"digits,formulas",True,True,same_correct,D,D,False,False,same_wrong,B,B,fallback_banglish,True,True,fallback_banglish,False,False
benqa_10th-Math-II_0367,source_fallback_after_failed_repair,True,True,"formulas,line_count",True,True,same_correct,C,C,False,False,same_wrong,B,B,fallback_banglish,True,True,fallback_banglish,False,False
benqa_10th-Math_0032,source_fallback_after_failed_repair,True,False,formulas,False,False,same_wrong,,,False,False,same_wrong,A,A,fallback_banglish,False,False,fallback_banglish,False,True
benqa_10th-Physics_0045,translated_stem_source_tail,False,False,,True,False,loss,A,D,False,False,same_wrong,B,D,fallback_banglish,True,True,fallback_banglish,False,False
benqa_10th-Physics_0055,source_fallback_after_failed_repair,True,True,"formulas,line_count",True,True,same_correct,D,D,True,True,same_correct,D,D,fallback_banglish,True,True,fallback_banglish,True,True
benqa_10th-Physics_0296,translated_stem_source_tail,False,True,line_count,True,True,same_correct,D,D,False,False,same_wrong,B,B,fallback_banglish,True,True,fallback_banglish,False,False
benqa_12th-Biology-II_0119,source_fallback_after_failed_repair,True,True,"formulas,line_count",False,False,same_wrong,D,D,False,False,same_wrong,B,B,fallback_banglish,False,False,fallback_banglish,False,True
benqa_12th-Biology-II_0179,translated_stem_source_tail,False,True,line_count,False,True,gain,D,A,False,True,gain,B,A,fallback_banglish,False,False,fallback_banglish,False,False
benqa_12th-Biology-II_0325,translated_stem_source_tail,False,True,line_count,False,False,same_wrong,C,D,False,True,gain,B,A,fallback_banglish,False,True,fallback_banglish,False,False
benqa_12th-Biology-I_0039,translated_stem_source_tail,False,False,,False,False,same_wrong,B,B,False,False,same_wrong,B,B,fallback_banglish,False,True,fallback_banglish,False,False
benqa_12th-Biology-I_0218,translated_stem_source_tail,False,False,,False,False,same_wrong,D,D,False,False,same_wrong,D,D,fallback_banglish,False,False,fallback_banglish,False,True
benqa_12th-Biology-I_0265,translated_stem_source_tail,False,False,,False,False,same_wrong,D,D,False,False,same_wrong,D,D,fallback_banglish,False,False,fallback_banglish,False,False
benqa_12th-Chemistry-II_0054,source_fallback_after_failed_repair,True,False,formulas,False,False,same_wrong,C,C,True,True,same_correct,A,A,fallback_banglish,False,False,fallback_banglish,True,False
benqa_12th-Chemistry-II_0240,source_fallback_after_failed_repair,True,False,"digits,formulas",False,False,same_wrong,C,C,True,True,same_correct,B,B,fallback_banglish,False,False,fallback_banglish,True,False
benqa_12th-Chemistry-II_0305,source_fallback_after_failed_repair,True,True,"digits,formulas,line_count",True,True,same_correct,D,D,False,False,same_wrong,A,A,fallback_banglish,True,False,fallback_banglish,False,False
benqa_12th-Chemistry-I_0140,source_fallback_after_failed_repair,True,False,"digits,formulas",True,True,same_correct,D,D,False,False,same_wrong,A,A,fallback_banglish,True,True,fallback_banglish,False,False
benqa_12th-Chemistry-I_0190,translated_stem_source_tail,False,False,,False,False,same_wrong,D,D,False,True,gain,C,B,fallback_banglish,False,False,fallback_banglish,False,False
benqa_12th-Chemistry-I_0303,translated_stem_source_tail,True,False,formulas,True,True,same_correct,D,D,True,True,same_correct,D,D,fallback_banglish,True,True,fallback_banglish,True,True
benqa_12th-Math-II_0230,translated_stem_source_tail,False,True,line_count,True,True,same_correct,D,D,True,True,same_correct,D,D,fallback_banglish,True,True,fallback_banglish,True,True
benqa_12th-Math-II_0234,source_fallback_after_failed_repair,True,True,"digits,formulas,line_count",False,False,same_wrong,,,True,True,same_correct,A,A,fallback_banglish,False,False,fallback_banglish,True,True
benqa_12th-Math-I_0088,source_fallback_after_failed_repair,True,False,formulas,False,False,same_wrong,D,D,False,False,same_wrong,A,A,fallback_banglish,False,False,fallback_banglish,False,False
benqa_12th-Math-I_0120,source_fallback_after_failed_repair,True,False,formulas,True,True,same_correct,D,D,False,False,same_wrong,B,B,fallback_banglish,True,True,fallback_banglish,False,False
benqa_12th-Math-I_0202,source_fallback_after_failed_repair,True,True,"formulas,line_count",True,True,same_correct,B,B,False,False,same_wrong,D,D,fallback_banglish,True,True,fallback_banglish,False,True
benqa_12th-Physics-II_0088,source_fallback_after_failed_repair,True,True,"formulas,line_count",False,False,same_wrong,D,D,False,False,same_wrong,D,D,fallback_banglish,False,False,fallback_banglish,False,False
