model,score_mode,n,bangla,banglish_clean,english,banglish_minus_bangla_points,banglish_minus_english_points,variant,variant_label,reference_model,model_correct,reference_correct,model_minus_reference_points,model_only,reference_only,exact_binomial_p_two_sided
Gemini 3.5 Flash,strict,60,37,6,23,-51.7,-28.3,,,,,,,,,
Gemini 3.5 Flash,secondary,60,43,31,42,-20.0,-18.3,,,,,,,,,
GPT-5.5 low cap1024,strict,60,44,42,30,-3.3,20.0,,,,,,,,,
GPT-5.5 low cap1024,secondary,60,45,48,44,5.0,6.7,,,,,,,,,
GPT-5.5 low cap1024,strict,60,,,,,,bangla,Bangla,Gemini 3.5 Flash,44,37,11.7,11,4,0.118469
GPT-5.5 low cap1024,strict,60,,,,,,banglish_clean,Reviewed Banglish,Gemini 3.5 Flash,42,6,60.0,36,0,2.91e-11
GPT-5.5 low cap1024,strict,60,,,,,,english,English,Gemini 3.5 Flash,30,23,11.7,9,2,0.06543
GPT-5.5 low cap1024,secondary,60,,,,,,bangla,Bangla,Gemini 3.5 Flash,45,43,3.3,6,4,0.753906
GPT-5.5 low cap1024,secondary,60,,,,,,banglish_clean,Reviewed Banglish,Gemini 3.5 Flash,48,31,28.3,17,0,1.5e-05
GPT-5.5 low cap1024,secondary,60,,,,,,english,English,Gemini 3.5 Flash,44,42,3.3,4,2,0.6875
