id,dataset,domain,subject,grade,task_type,review_label,bangla_model_correct_count,banglish_model_correct_count,english_model_correct_count,alternate_best_correct_count,alternate_total_correct_count,banglish_minus_bangla_model_count,banglish_minus_english_model_count,banglish_minus_alternate_best,strong_alternate_low_banglish,zero_banglish_any_alternate,zero_banglish_strong_alternate,banglish_beats_alternate,banglish_ties_best_script,all_scripts_zero,all_three_banglish_correct,fragility_events,strict_fragility_events,banglish_preview
benqa_12th-Biology-I_0265,benqa,biology-i,Biology-I,12th,mcq,minor_edit,1,0,3,3,4,-1,-3,-3,True,True,True,False,False,False,False,3,1,"mi. 'k' byoboharik klase ekti nomunar poryobekshon kore dekholo metajailem kendrer dike, bhaskular bandol 9ti ebong kichhu ekok..."
benqa_12th-Chemistry-II_0240,benqa,chemistry-ii,Chemistry-II,12th,mcq,unreviewed,1,2,2,2,3,1,0,0,False,False,False,False,True,False,False,1,1,CH_{3} - CH_{2} - COONa + NaOH \xrightarrow[\Delta]{CaO} A + Na_{2}CO_{3} uddipoker bikriyati ki name porichit? A. urtoj bikriy...
benqa_10th-Chemistry_0111,benqa,chemistry,Chemistry,10th,mcq,unreviewed,1,1,1,1,2,0,0,0,False,False,False,False,True,False,False,0,0,1s^{2}2s^{2}2p^{2} ilekotron binyasobishisht mouloti poryay saronir kon grupe obosthit? A. grup-1 B. grup-3 C. grup-5 D. grup-1...
benqa_10th-Math_0186,benqa,math,Math,10th,mcq,unreviewed,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,"2x + y = 1 o x = - 4 somikoronodboyer somadhan bindu kon chortubhage obosthit? A. 4th B. 3rd C. 2nd D. 1st Answer with only A,..."
benqa_12th-Chemistry-II_0194,benqa,chemistry-ii,Chemistry-II,12th,mcq,unreviewed,2,1,3,3,5,-1,-2,-2,True,False,False,False,False,False,False,2,1,"semikondaktor hisebe byobohrit hoy- A. Ge B. Zn C. Cu D. Al Answer with only A, B, C, or D."
banglamath_0234,banglamath,math,,six,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ekti kaj k 10 dine o kh 15 dine korle tara ekotre koto dine korbe Return only the final answer.
benqa_12th-Chemistry-II_0054,benqa,chemistry-ii,Chemistry-II,12th,mcq,unreviewed,2,2,3,3,5,0,-1,-1,False,False,False,False,False,False,False,1,1,"amaider karyokori mulok holo- A. \text{-CONH_{2}} B. \text{-COX} C. \text{-CHO} D. \text{-NH_{2}} Answer with only A, B, C, or D."
banglamath_0522,banglamath,math,,seven,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,jomir bhitore 2 mitar chowra rasta thakle rastabade jomir khetrofol koto Return only the final answer.
benqa_12th-Math-II_0234,benqa,math-ii,Math-II,12th,mcq,unreviewed,2,1,2,2,4,-1,-1,-1,True,False,False,False,False,False,False,1,1,jodi x^{2} - 4x + 3 = 0 somikoroner mulodboy \alpha ebong \beta hoy tobe \frac{1}{\alpha} + frac{1}{\beta} er man- A. \frac{4}{...
benqa_10th-Math_0271,benqa,math,Math,10th,mcq,minor_edit,1,0,2,2,3,-1,-2,-2,True,True,True,False,False,False,False,2,1,sthulokoni tribhujer sthulokon chhara baki kon duti koto hole tribhuj ongkon sombhob? A. 30\degree o 60\degree B. 40\degree o 5...
