route,id,gold,repair_strategy,banglish_parsed,generated_bn_parsed,generated_en_parsed,banglish_correct,generated_bn_correct,generated_en_correct,generated_view_oracle_correct,triad_oracle_correct,generated_agreement,generated_agreement_correct,baseline_wrong_generated_oracle,baseline_wrong_agreement_correct,baseline_correct_agreement_wrong,generated_disagreement,generated_disagreement_any_correct,route_action,routed_correct
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0057,C,raw_self_translate,D,D,,False,False,False,False,False,False,False,False,False,False,False,False,fallback_banglish,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0143,C,raw_self_translate,C,D,C,True,False,True,True,True,False,False,False,False,False,True,True,fallback_banglish,True
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Biology_0197,D,raw_self_translate,D,D,,True,True,False,True,True,False,False,False,False,False,False,False,fallback_banglish,True
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0280,A,raw_self_translate,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0374,B,raw_self_translate,D,D,,False,False,False,False,False,False,False,False,False,False,False,False,fallback_banglish,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0388,D,raw_self_translate,D,D,B,True,True,False,True,True,False,False,False,False,False,True,True,fallback_generated_en_gate,True
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math-II_0367,C,raw_self_translate,C,C,A,True,True,False,True,True,False,False,False,False,False,True,True,fallback_generated_en_gate,True
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math_0032,B,raw_self_translate,,D,,False,False,False,False,False,False,False,False,False,False,False,False,fallback_generated_en_gate,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0045,A,raw_self_translate,A,A,B,True,True,False,True,True,False,False,False,False,False,True,True,fallback_banglish,True
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0055,D,raw_self_translate,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_generated_en_gate,True
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0296,D,raw_self_translate,D,D,,True,True,False,True,True,False,False,False,False,False,False,False,fallback_banglish,True
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0119,C,raw_self_translate,D,D,,False,False,False,False,False,False,False,False,False,False,False,False,fallback_generated_en_gate,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0179,A,raw_self_translate,D,D,A,False,False,True,True,True,False,False,True,False,False,True,True,fallback_banglish,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0325,A,raw_self_translate,C,C,,False,False,False,False,False,False,False,False,False,False,False,False,fallback_banglish,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-I_0039,C,raw_self_translate,B,D,B,False,False,False,False,False,False,False,False,False,False,True,False,fallback_banglish,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-I_0218,B,raw_self_translate,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-I_0265,A,raw_self_translate,D,C,D,False,False,False,False,False,False,False,False,False,False,True,False,fallback_banglish,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Chemistry-II_0054,A,raw_self_translate,C,C,C,False,False,False,False,False,True,False,False,False,False,False,False,fallback_generated_en_gate,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Chemistry-II_0240,B,raw_self_translate,C,B,A,False,True,False,True,True,False,False,True,False,False,True,True,fallback_generated_en_gate,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Chemistry-II_0305,D,raw_self_translate,D,D,,True,True,False,True,True,False,False,False,False,False,False,False,fallback_generated_en_gate,True
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Chemistry-I_0140,D,raw_self_translate,D,C,D,True,False,True,True,True,False,False,False,False,False,True,True,fallback_generated_en_gate,True
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Chemistry-I_0190,B,raw_self_translate,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Chemistry-I_0303,D,raw_self_translate,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_generated_en_gate,True
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Math-II_0230,D,raw_self_translate,D,D,,True,True,False,True,True,False,False,False,False,False,False,False,fallback_banglish,True
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Math-II_0234,A,raw_self_translate,,A,,False,True,False,True,True,False,False,True,False,False,False,False,fallback_generated_en_gate,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Math-I_0088,C,raw_self_translate,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_generated_en_gate,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Math-I_0120,D,raw_self_translate,D,D,C,True,True,False,True,True,False,False,False,False,False,True,True,fallback_generated_en_gate,True
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Math-I_0202,B,raw_self_translate,B,B,,True,True,False,True,True,False,False,False,False,False,False,False,fallback_generated_en_gate,True
