model,variant,variant_label,id,subject,domain,grade,gold,parsed_option,valid_option,correct,format_failure
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0057,Biology,biology,10th,C,C,True,True,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0090,Biology,biology,10th,C,B,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0128,Biology,biology,10th,A,A,True,True,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0143,Biology,biology,10th,C,A,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0149,Biology,biology,10th,B,B,True,True,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0156,Biology,biology,10th,C,B,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0188,Biology,biology,10th,A,B,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0197,Biology,biology,10th,D,D,True,True,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0213,Biology,biology,10th,A,A,True,True,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0215,Biology,biology,10th,B,D,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0277,Biology,biology,10th,C,B,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_10th-Biology_0339,Biology,biology,10th,D,B,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_12th-Biology-I_0039,Biology-I,biology-i,12th,C,B,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_12th-Biology-I_0042,Biology-I,biology-i,12th,D,D,True,True,False
Qwen2.5-3B,bangla,Bangla,benqa_12th-Biology-I_0056,Biology-I,biology-i,12th,A,B,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_12th-Biology-I_0077,Biology-I,biology-i,12th,C,B,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_12th-Biology-I_0160,Biology-I,biology-i,12th,B,B,True,True,False
Qwen2.5-3B,bangla,Bangla,benqa_12th-Biology-I_0181,Biology-I,biology-i,12th,C,D,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_12th-Biology-I_0218,Biology-I,biology-i,12th,B,A,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_12th-Biology-I_0222,Biology-I,biology-i,12th,A,A,True,True,False
Qwen2.5-3B,bangla,Bangla,benqa_12th-Biology-I_0265,Biology-I,biology-i,12th,A,D,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_12th-Biology-I_0277,Biology-I,biology-i,12th,D,B,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_12th-Biology-I_0283,Biology-I,biology-i,12th,A,D,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_12th-Biology-II_0034,Biology-II,biology-ii,12th,B,A,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_12th-Biology-II_0049,Biology-II,biology-ii,12th,C,A,True,False,False
Qwen2.5-3B,bangla,Bangla,benqa_12th-Biology-II_0119,Biology-II,biology-ii,12th,C,A,True,False,False
